album_id,album_title,disc_number,track_number,title,length_seconds
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,7,Please Please Me,121
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,8,Love Me Do,141
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,9,P.S. I Love You,124
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,10,Baby It’s You,160
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,11,Do You Want to Know a Secret,120
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,12,A Taste of Honey,125
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,13,There’s a Place,113
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1,14,Twist and Shout,153
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,1,I Saw Her Standing There,175
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,2,Misery,108
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,3,Anna (Go to Him),177
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,4,Chains,145
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,5,Boys,146
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,6,Ask Me Why,146
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,7,Please Please Me,122
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,8,Love Me Do,141
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,9,P.S. I Love You,124
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,10,Baby It’s You,160
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,11,Do You Want to Know a Secret,117
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,12,A Taste of Honey,123
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,13,There’s a Place,110
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1,14,Twist and Shout,154
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,1,I Saw Her Standing There,175
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,2,Misery,108
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,3,Anna (Go to Him),177
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,4,Chains,145
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,5,Boys,146
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,6,Ask Me Why,146
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,7,Please Please Me,122
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,8,Love Me Do,141
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,9,P.S. I Love You,124
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,10,Baby It’s You,160
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,11,Do You Want to Know a Secret,117
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,12,A Taste of Honey,123
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,13,There’s a Place,110
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1,14,Twist and Shout,154
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,1,I Saw Her Standing There,175
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,2,Misery,110
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,3,Anna (Go to Him),177
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,4,Chains,146
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,5,Boys,147
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,6,Ask Me Why,147
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,7,Please Please Me,121
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,8,Love Me Do,141
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,9,P.S. I Love You,124
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,10,Baby It’s You,160
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,11,Do You Want to Know a Secret,120
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,12,A Taste of Honey,125
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,13,There’s a Place,113
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1,14,Twist and Shout,153
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,1,I Saw Her Standing There,175
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,2,Misery,108
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,3,Anna (Go to Him),177
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,4,Chains,145
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,5,Boys,146
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,6,Ask Me Why,146
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,7,Please Please Me,122
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,8,Love Me Do,141
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,9,P.S. I Love You,124
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,10,Baby It’s You,160
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,11,Do You Want to Know a Secret,117
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,12,A Taste of Honey,123
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,13,There’s a Place,110
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1,14,Twist and Shout,154
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,1,I Saw Her Standing There,175
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,2,Misery,110
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,3,Anna (Go to Him),177
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,4,Chains,146
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,5,Boys,147
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,6,Ask Me Why,147
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,7,Please Please Me,121
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,8,Love Me Do,141
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,9,P.S. I Love You,124
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,10,Baby It’s You,160
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,11,Do You Want to Know a Secret,120
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,12,A Taste of Honey,125
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,13,There’s a Place,113
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1,14,Twist and Shout,153
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,1,It Won’t Be Long,133
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,2,All I’ve Got to Do,125
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,3,All My Loving,129
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,4,Don’t Bother Me,149
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,5,Little Child,108
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,6,Till There Was You,137
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,7,Please Mister Postman,155
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,8,Roll Over Beethoven,168
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,9,Hold Me Tight,153
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,10,You Really Got a Hold on Me,183
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,11,I Wanna Be Your Man,120
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,12,Devil in Her Heart,148
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,13,Not a Second Time,127
